n_tokens,n_chunks,total_bp,tss_bp,center_idx,tss_chunk_idx,tss_contain_chunk_idx,delta_chunks,center_chunk_bp_center,delta_bp,center_contains_tss,anchor_contains_tss,bp_per_token,chunk_bp_min,chunk_bp_max,ensembl_id,seq_len
29748,67,196608,98304,33,33,33,0,97729.5,-574.5,True,True,6.609116579265833,2105,3900,ENSG00000101336,196608
29513,67,196608,98304,33,32,32,1,101754.5,3450.5,False,True,6.6617422830617015,621,3855,ENSG00000163349,196608
30531,69,196608,98304,34,34,34,0,97547.0,-757.0,True,True,6.43961874815761,1338,4047,ENSG00000064393,196608
28402,64,196608,98304,32,30,30,2,102995.5,4691.5,False,True,6.92232941342159,1943,4477,ENSG00000110422,196608
27852,63,196608,98304,31,31,31,0,99751.0,1447.0,True,True,7.059026281775097,1307,4164,ENSG00000160396,196608
29568,67,196580,98304,33,32,32,1,100464.0,2160.0,False,True,6.64840367965368,894,4729,ENSG00000142149,196608
29310,66,196608,98304,33,32,32,1,101099.0,2795.0,False,True,6.707881269191402,2000,4008,ENSG00000104365,196608
30654,69,196608,98304,34,34,34,0,99416.0,1112.0,True,True,6.413779604619299,1992,3630,ENSG00000263528,196608
30998,70,196608,98304,35,34,34,1,101177.0,2873.0,False,True,6.342602748564423,1473,3629,ENSG00000166333,196608
29724,67,196608,98304,33,33,33,0,98137.5,-166.5,True,True,6.614452967299152,1854,4233,ENSG00000184216,196608
27617,62,196608,98304,31,30,30,1,100489.0,2185.0,False,True,7.119093312090379,2912,4032,ENSG00000134070,196608
29836,67,196608,98304,33,32,32,1,99733.5,1429.5,True,True,6.589623273897305,2785,4726,ENSG00000090376,196608
30162,68,196608,98304,34,33,33,1,100458.5,2154.5,False,True,6.518400636562562,1706,3700,ENSG00000198001,196608
28827,65,196608,98304,32,31,31,1,102305.0,4001.0,False,True,6.8202726610469355,1893,4500,ENSG00000113263,196608
28860,65,196608,98304,32,32,32,0,98020.5,-283.5,True,True,6.812474012474013,1982,4359,ENSG00000162434,196608
29321,66,196608,98304,33,32,32,1,102016.0,3712.0,False,True,6.705364755635892,2237,4910,ENSG00000096968,196608
27575,62,196608,98304,31,31,31,0,99208.5,904.5,True,True,7.129936536718041,2473,4434,ENSG00000105639,196608
29630,67,196608,98304,33,33,33,0,98865.0,561.0,True,True,6.635437057036787,1206,5104,ENSG00000128052,196608
30533,69,196608,98304,34,33,33,1,100431.5,2127.5,False,True,6.43919693446435,1255,3551,ENSG00000157404,196608
27518,62,196608,98304,31,30,30,1,100327.5,2023.5,False,True,7.144705283814231,2421,4155,ENSG00000131023,196608
28893,65,196608,98304,32,32,32,0,97492.0,-812.0,True,True,6.804693178278476,2320,3788,ENSG00000150457,196608
28501,64,196608,98304,32,32,32,0,98475.5,171.5,True,True,6.898284270727343,2716,4165,ENSG00000182866,196608
27964,63,196608,98304,31,32,32,-1,95011.0,-3293.0,False,True,7.030753826348162,2056,4231,ENSG00000106683,196608
29173,66,196608,98304,33,32,32,1,101258.5,2954.5,False,True,6.739382305556508,1470,3993,ENSG00000182541,196608
28884,65,196608,98304,32,30,30,2,103696.5,5392.5,False,True,6.80681346073951,2116,3971,ENSG00000164715,196608
27935,63,196608,98304,31,32,32,-1,94957.5,-3346.5,False,True,7.038052622158583,2018,4201,ENSG00000142235,196608
30789,69,196608,98304,34,34,34,0,97848.5,-455.5,True,True,6.385657215239209,2832,3655,ENSG00000154237,196608
30324,68,196608,98304,34,33,33,1,99741.0,1437.0,True,True,6.483577364463791,2860,3703,ENSG00000188906,196608
30087,68,196608,98304,34,33,33,1,100546.0,2242.0,False,True,6.534649516402433,1278,4847,ENSG00000073331,196608
30009,68,196608,98304,34,33,33,1,100374.0,2070.0,False,True,6.551634509647106,817,3906,ENSG00000198796,196608
29453,66,196608,98304,33,32,32,1,101486.5,3182.5,False,True,6.675313210878349,2967,4040,ENSG00000136383,196608
27955,63,196608,98304,31,29,29,2,103189.5,4885.5,False,True,7.033017349311393,2125,4324,ENSG00000135409,196608
31182,70,196608,98304,35,34,34,1,100051.5,1747.5,False,True,6.3051760631133345,2632,3526,ENSG00000170209,196608
29499,66,196608,98304,33,31,31,2,103627.0,5323.0,False,True,6.664903895047289,3041,4090,ENSG00000078061,196608
29062,66,196608,98304,33,32,32,1,100937.5,2633.5,False,True,6.765122840823068,445,4565,ENSG00000124198,196608
28273,64,196608,98304,32,31,31,1,101719.5,3415.5,False,True,6.953913627842819,1356,4385,ENSG00000062524,196608
28801,65,196608,98304,32,31,31,1,100831.0,2527.0,False,True,6.826429637859796,1783,4080,ENSG00000254087,196608
29386,66,196608,98304,33,33,33,0,98597.5,293.5,True,True,6.6905329068263795,2672,3857,ENSG00000151276,196608
30332,68,196608,98304,34,33,33,1,100083.0,1779.0,False,True,6.481867334827904,2872,4073,ENSG00000187391,196608
29409,66,196608,98304,33,32,32,1,101477.5,3173.5,False,True,6.685300418239314,2728,5364,ENSG00000081026,196608
28786,65,196608,98304,32,32,32,0,99687.5,1383.5,True,True,6.82998679913847,1740,3845,ENSG00000111837,196608
30191,68,196608,98304,34,33,33,1,101277.5,2973.5,False,True,6.512139379285218,1984,4040,ENSG00000078018,196608
28106,63,196608,98304,31,30,30,1,100193.0,1889.0,False,True,6.995232334732798,3078,4897,ENSG00000169032,196608
28242,64,196608,98304,32,33,33,-1,96588.0,-1716.0,False,True,6.9615466326747395,1066,4214,ENSG00000126934,196608
30368,68,196608,98304,34,33,33,1,101565.0,3261.0,False,True,6.47418335089568,3029,3786,ENSG00000034152,196608
30141,68,196608,98304,34,33,33,1,102381.0,4077.0,False,True,6.522942171792575,1596,3675,ENSG00000065559,196608
29377,66,196608,98304,33,32,32,1,100821.0,2517.0,False,True,6.692582632671818,2493,4816,ENSG00000137764,196608
29271,66,196608,98304,33,32,32,1,101795.5,3491.5,False,True,6.71681869427078,1910,3847,ENSG00000108984,196608
29486,66,196608,98304,33,32,32,1,101945.5,3641.5,False,True,6.667842365868548,2904,4167,ENSG00000076984,196608
30078,68,196608,98304,34,33,33,1,101264.0,2960.0,False,True,6.536604827448634,1401,4130,ENSG00000095015,196608
29894,67,196608,98304,33,33,33,0,98898.0,594.0,True,True,6.57683816150398,3028,3761,ENSG00000169967,196608
29530,67,196608,98304,33,32,32,1,100159.5,1855.5,False,True,6.657907213003725,740,3930,ENSG00000198909,196608
30492,69,196608,98304,34,33,33,1,100093.5,1789.5,False,True,6.447855175127902,1012,3670,ENSG00000085511,196608
29271,66,196608,98304,33,33,33,0,98437.5,133.5,True,True,6.71681869427078,1740,4676,ENSG00000197442,196608
29234,66,196608,98304,33,32,32,1,100011.5,1707.5,True,True,6.725319833071081,1929,4191,ENSG00000142733,196608
30450,69,196608,98304,34,33,33,1,100090.5,1786.5,False,True,6.456748768472907,746,4363,ENSG00000135341,196608
29164,66,196608,98304,33,32,32,1,100240.0,1936.0,False,True,6.741462076532711,1375,3920,ENSG00000107968,196608
29860,67,196608,98304,33,33,33,0,97914.0,-390.0,True,True,6.584326858673811,2617,3766,ENSG00000006432,196608
28972,65,196608,98304,32,31,31,1,101602.5,3298.5,False,True,6.786138340466658,3013,4022,ENSG00000130758,196608
30085,68,196608,98304,34,34,34,0,99134.0,830.0,True,True,6.5350839288682065,1207,4192,ENSG00000173327,196608
28362,64,196608,98304,32,31,31,1,100334.0,2030.0,False,True,6.9320922360905435,1762,4271,ENSG00000139625,196608
29304,66,196608,98304,33,32,32,1,100619.0,2315.0,False,True,6.70925470925471,2287,3795,ENSG00000073803,196608
29914,67,196608,98304,33,33,33,0,97302.0,-1002.0,True,True,6.572440997526242,2929,4092,ENSG00000006062,196608
29160,66,196608,98304,33,31,31,2,103797.0,5493.0,False,True,6.74238683127572,1065,4503,ENSG00000180815,196608
29360,66,196608,98304,33,32,32,1,100483.0,2179.0,False,True,6.696457765667575,2494,3717,ENSG00000176601,196608
30300,68,196608,98304,34,34,34,0,98965.5,661.5,True,True,6.488712871287129,2773,3630,ENSG00000091436,196608
30315,68,196608,98304,34,34,34,0,99401.0,1097.0,True,True,6.4855022266204845,2791,3662,ENSG00000143674,196608
28375,64,196608,98304,32,31,31,1,101521.5,3217.5,False,True,6.9289162995594715,1795,4086,ENSG00000100030,196608
28105,63,196608,98304,31,32,32,-1,95400.0,-2904.0,False,True,6.99548123109767,2992,4306,ENSG00000102882,196608
30761,69,196608,98304,34,33,33,1,99762.5,1458.5,True,True,6.391469718149605,2681,4000,ENSG00000141639,196608
28374,64,196608,98304,32,32,32,0,98377.0,73.0,True,True,6.929160499048424,1979,4105,ENSG00000069956,196608
29924,67,196608,98304,33,33,33,0,97590.5,-713.5,True,True,6.5702446197032485,3015,4121,ENSG00000166484,196608
30610,69,196608,98304,34,34,34,0,97690.0,-614.0,True,True,6.422999019928128,2080,3852,ENSG00000107643,196608
30083,68,196608,98304,34,33,33,1,100036.5,1732.5,False,True,6.535518399095835,1198,4034,ENSG00000050748,196608
29720,67,196608,98304,33,33,33,0,98275.5,-28.5,True,True,6.6153432032301485,1793,4504,ENSG00000109339,196608
30799,69,196608,98304,34,35,35,-1,96764.5,-1539.5,False,True,6.383583882593591,2888,4163,ENSG00000185386,196608
30832,69,196608,98304,34,34,34,0,97614.0,-690.0,True,True,6.376751427088739,2863,4273,ENSG00000188130,196608
30146,68,196608,98304,34,33,33,1,100894.0,2590.0,False,True,6.5218602799708085,1617,3702,ENSG00000156711,196608
29308,66,196608,98304,33,31,31,2,102656.0,4352.0,False,True,6.708339020062781,2292,3796,ENSG00000112062,196608
29987,68,196608,98304,34,32,32,2,103619.5,5315.5,False,True,6.556441124487278,649,4062,ENSG00000181085,196608
30232,68,196608,98304,34,33,33,1,101334.5,3030.5,False,True,6.5033077533739085,2354,4017,ENSG00000162889,196608
30555,69,196608,98304,34,34,34,0,97300.5,-1003.5,True,True,6.434560628375062,1509,3692,ENSG00000114738,196608
28018,63,196608,98304,31,31,31,0,99122.5,818.5,True,True,7.0172032264972515,2612,4800,ENSG00000089022,196608
30227,68,196608,98304,34,34,34,0,98601.0,297.0,True,True,6.504383498196976,2325,4584,ENSG00000116141,196608
28653,65,196608,98304,32,31,31,1,101251.5,2947.5,False,True,6.861689875405717,1011,4269,ENSG00000072518,196608
28640,65,196608,98304,32,32,32,0,98696.0,392.0,True,True,6.864804469273743,602,3999,ENSG00000075413,196608
29073,66,196608,98304,33,31,31,2,105304.0,7000.0,False,True,6.76256320297183,695,4159,ENSG00000007047,196608
28263,64,196608,98304,32,31,31,1,100374.5,2070.5,False,True,6.956374057955631,1264,4166,ENSG00000105613,196608
28015,63,196608,98304,31,30,30,1,100514.5,2210.5,False,True,7.017954667142602,2374,4223,ENSG00000086015,196608
28028,63,196608,98304,31,30,30,1,99989.0,1685.0,False,True,7.014699586128158,2471,4154,ENSG00000099308,196608
30833,69,196608,98304,34,34,34,0,98341.5,37.5,True,True,6.376544611293095,2957,3485,ENSG00000069020,196608
28403,64,196608,98304,32,31,31,1,99987.5,1683.5,True,True,6.922085695173045,1871,4070,ENSG00000120539,196608
28180,64,196608,98304,32,31,31,1,101365.5,3061.5,False,True,6.976863023420866,562,4167,ENSG00000007264,196608
27113,61,196608,98304,30,29,29,1,100582.0,2278.0,False,True,7.251429203703021,2320,4187,ENSG00000165304,196608
29222,66,196608,98304,33,32,32,1,101598.5,3294.5,False,True,6.728081582369447,1520,4019,ENSG00000153208,196608
30286,68,196608,98304,34,34,34,0,97942.5,-361.5,True,True,6.491712342336393,2526,5229,ENSG00000105976,196608
30270,68,196608,98304,34,34,34,0,98724.5,420.5,True,True,6.4951437066402375,2558,3969,ENSG00000079277,196608
28814,65,196608,98304,32,32,32,0,99563.5,1259.5,True,True,6.823349760533074,2157,4139,ENSG00000099875,196608
29576,67,196608,98304,33,33,33,0,99494.0,1190.0,True,True,6.647552069245334,1024,3757,ENSG00000020426,196608
29398,66,196608,98304,33,33,33,0,99706.5,1402.5,True,True,6.687801891285122,2539,3908,ENSG00000114978,196608
28248,64,196608,98304,32,31,31,1,102213.5,3909.5,False,True,6.960067969413764,1206,4007,ENSG00000173542,196608
31481,71,196608,98304,35,36,36,-1,96625.5,-1678.5,False,True,6.24529081033004,1649,3839,ENSG00000182208,196608
28818,65,196608,98304,32,31,31,1,101342.0,3038.0,False,True,6.822402665001041,1759,4191,ENSG00000172081,196608
30662,69,196608,98304,34,34,34,0,98802.5,498.5,True,True,6.412106190072402,2053,3597,ENSG00000120162,196608
30270,68,196608,98304,34,34,34,0,98722.0,418.0,True,True,6.4951437066402375,2553,3954,ENSG00000142961,196608
28094,63,196608,98304,31,31,31,0,97986.5,-317.5,True,True,6.998220260553855,2947,4352,ENSG00000115540,196608
28669,65,196608,98304,32,32,32,0,98212.5,-91.5,True,True,6.857860406711081,754,4092,ENSG00000080823,196608
30007,68,196608,98304,34,34,34,0,99128.5,824.5,True,True,6.5520711833905425,780,4364,ENSG00000130830,196608
29635,67,196608,98304,33,33,33,0,98093.0,-211.0,True,True,6.634317529947697,1143,4010,ENSG00000108852,196608
29819,67,196608,98304,33,33,33,0,99155.0,851.0,True,True,6.593380059693484,2638,4304,ENSG00000161647,196608
29739,67,196608,98304,33,33,33,0,98659.5,355.5,True,True,6.61111671542419,2115,4312,ENSG00000082126,196608
29114,66,196608,98304,33,32,32,1,100102.0,1798.0,True,True,6.753039774678848,878,3918,ENSG00000150054,196608
28112,63,196608,98304,31,32,32,-1,95382.0,-2922.0,False,True,6.993739328400683,3056,4245,ENSG00000164078,196608
29017,65,196608,98304,32,32,32,0,98619.0,315.0,True,True,6.775614295068408,3045,4577,ENSG00000198793,196608
30083,68,196608,98304,34,33,33,1,100945.5,2641.5,False,True,6.535518399095835,1266,3963,ENSG00000030304,196608
30409,69,196608,98304,34,33,33,1,100115.5,1811.5,False,True,6.4654543062909005,510,4282,ENSG00000065534,196608
29177,66,196608,98304,33,31,31,2,103689.5,5385.5,False,True,6.738458374747232,1143,4036,ENSG00000101306,196608
28918,65,196608,98304,32,32,32,0,98164.0,-140.0,True,True,6.798810429490283,2481,3924,ENSG00000140795,196608
30517,69,196608,98304,34,34,34,0,98853.0,549.0,True,True,6.442572992102763,1200,3658,ENSG00000145949,196608
31107,70,196608,98304,35,34,34,1,100795.5,2491.5,False,True,6.320378049956601,2182,4185,ENSG00000137474,196608
29935,67,196608,98304,33,34,34,-1,96806.5,-1497.5,True,True,6.567830298981126,2979,4896,ENSG00000170011,196608
30279,68,196608,98304,34,33,33,1,100006.5,1702.5,False,True,6.493213118002576,2471,4205,ENSG00000172915,196608
29537,67,196608,98304,33,32,32,1,101068.0,2764.0,False,True,6.656329349629279,713,5033,ENSG00000137601,196608
29871,67,196608,98304,33,33,33,0,99213.5,909.5,True,True,6.581902179371297,2823,3746,ENSG00000117650,196608
29228,66,196608,98304,33,32,32,1,100015.0,1711.0,False,True,6.726700424250718,2260,4025,ENSG00000136098,196608
29897,67,196608,98304,33,31,31,2,102867.5,4563.5,False,True,6.5761782118607215,2892,3951,ENSG00000114904,196608
28975,65,196608,98304,32,31,31,1,100273.0,1969.0,False,True,6.785435720448663,2922,5386,ENSG00000197168,196608
30028,68,196608,98304,34,32,32,2,104202.0,5898.0,False,True,6.5474890102570935,871,3813,ENSG00000119408,196608
30125,68,196608,98304,34,33,33,1,100028.0,1724.0,False,True,6.52640663900415,1524,4464,ENSG00000151414,196608
28696,65,196608,98304,32,33,33,-1,96601.0,-1703.0,False,True,6.851407861722889,1128,4076,ENSG00000160602,196608
28559,64,196608,98304,32,32,32,0,98237.0,-67.0,True,True,6.884274659476873,2999,3951,ENSG00000119638,196608
30072,68,196608,98304,34,34,34,0,99284.0,980.0,True,True,6.537909018355946,1273,3825,ENSG00000163491,196608
30100,68,196608,98304,34,34,34,0,99098.0,794.0,True,True,6.531827242524917,1397,4200,ENSG00000114670,196608
28507,64,196608,98304,32,30,30,2,103100.0,4796.0,False,True,6.896832356964956,2690,4089,ENSG00000186575,196608
28520,64,196608,98304,32,31,31,1,100921.0,2617.0,False,True,6.8936886395511925,2631,4468,ENSG00000177453,196608
29955,68,196608,98304,34,33,33,1,101455.0,3151.0,False,True,6.5634451677516275,457,3987,ENSG00000087095,196608
30141,68,196608,98304,34,32,32,2,103361.0,5057.0,False,True,6.522942171792575,1594,4260,ENSG00000198400,196608
30698,69,196608,98304,34,34,34,0,99275.5,971.5,True,True,6.404586618020718,2337,4082,ENSG00000148053,196608
31239,70,196608,98304,35,35,35,0,99169.0,865.0,True,True,6.2936713723230575,2902,3486,ENSG00000140538,196608
30687,69,196608,98304,34,34,34,0,97290.5,-1013.5,True,True,6.406882393195816,2243,3857,ENSG00000074590,196608
29508,67,196608,98304,33,33,33,0,98274.5,-29.5,True,True,6.662871085807239,473,5013,ENSG00000163545,196608
30915,70,196608,98304,35,34,34,1,102171.5,3867.5,False,True,6.359631246967491,871,3768,ENSG00000154358,196608
30606,69,196608,98304,34,34,34,0,97875.0,-429.0,True,True,6.4238384630464616,1893,3718,ENSG00000172939,196608
29605,67,196608,98304,33,33,33,0,98120.0,-184.0,True,True,6.641040364803243,1025,3880,ENSG00000149269,196608
28524,64,196608,98304,32,31,31,1,100338.0,2034.0,False,True,6.8927219183845185,2883,3868,ENSG00000180370,196608
30447,69,196608,98304,34,33,33,1,100019.0,1715.0,False,True,6.457384964035866,748,3978,ENSG00000077264,196608
28172,64,196608,98304,32,30,30,2,103951.0,5647.0,False,True,6.978844242510294,524,4019,ENSG00000130669,196608
30266,68,196608,98304,34,34,34,0,99152.5,848.5,True,True,6.496002114584022,2568,4775,ENSG00000101349,196608
30146,68,196608,98304,34,32,32,2,103560.0,5256.0,False,True,6.5218602799708085,1763,4295,ENSG00000137843,196608
29030,65,196608,98304,32,32,32,0,97944.5,-359.5,True,True,6.772580089562521,3109,4319,ENSG00000072415,196608
30300,68,196608,98304,34,33,33,1,99965.5,1661.5,False,True,6.488712871287129,2741,3559,ENSG00000152782,196608
28138,63,196608,98304,31,31,31,0,99682.0,1378.0,True,True,6.987276991968157,3052,4339,ENSG00000125779,196608
29330,66,196608,98304,33,32,32,1,100745.0,2441.0,False,True,6.7033071939993185,2260,4316,ENSG00000120137,196608
32072,72,196608,98304,36,36,36,0,98264.0,-40.0,True,True,6.13020703417311,2664,3619,ENSG00000157881,196608
30540,69,196608,98304,34,34,34,0,98931.5,627.5,True,True,6.437721021611002,1363,3838,ENSG00000115687,196608
29935,67,196608,98304,33,34,34,-1,96771.5,-1532.5,True,True,6.567830298981126,3122,4194,ENSG00000178104,196608
29305,66,196608,98304,33,32,32,1,101838.0,3534.0,False,True,6.709025763521583,2051,4829,ENSG00000134853,196608
30873,70,196608,98304,35,34,34,1,101422.5,3118.5,False,True,6.3682829656981825,624,3609,ENSG00000113721,196608
29232,66,196608,98304,33,33,33,0,99697.5,1393.5,True,True,6.725779967159277,1714,3885,ENSG00000175087,196608
29900,67,196608,98304,33,33,33,0,97029.0,-1275.0,True,True,6.57551839464883,3090,4006,ENSG00000152256,196608
30412,69,196608,98304,34,33,33,1,101698.0,3394.0,False,True,6.464816519794818,517,3910,ENSG00000005882,196608
29767,67,196608,98304,33,33,33,0,98748.5,444.5,True,True,6.604898041455303,2172,3744,ENSG00000067992,196608
